scenario_name,run_number,round,agent_id,move,payoff,strategy
NPD_AllTFT_NoExploration,3,0,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,0,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,0,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,1,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,1,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,1,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,2,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,2,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,2,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,3,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,3,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,3,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,4,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,4,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,4,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,5,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,5,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,5,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,6,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,6,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,6,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,7,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,7,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,7,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,8,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,8,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,8,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,9,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,9,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,9,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,10,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,10,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,10,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,11,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,11,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,11,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,12,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,12,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,12,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,13,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,13,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,13,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,14,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,14,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,14,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,15,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,15,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,15,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,16,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,16,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,16,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,17,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,17,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,17,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,18,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,18,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,18,2,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,19,0,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,19,1,cooperate,3.0,tit_for_tat
NPD_AllTFT_NoExploration,3,19,2,cooperate,3.0,tit_for_tat
